state,total_orders,avg_delivery_days,avg_freight_cost,late_delivery_pct
AL,397,24.0,35.87,24.12
MA,717,21.2,38.49,20.38
SE,335,21.0,36.57,16.27
PI,476,18.9,39.12,15.49
CE,1279,20.5,32.73,15.29
BA,3256,18.8,26.49,13.68
RJ,12350,14.7,20.91,12.97
PA,946,23.3,35.63,12.43
TO,274,17.0,37.44,12.26
ES,1995,15.2,22.03,12.22
PB,517,20.1,43.09,11.26
RR,41,27.8,43.09,10.87
MS,701,15.1,23.35,10.85
RN,474,18.9,35.72,10.36
PE,1593,17.8,32.69,10.19
SC,3546,14.5,21.51,9.62
GO,1957,14.9,22.56,7.86
DF,2080,12.5,21.07,7.43
RS,5344,14.7,21.61,6.88
MT,886,17.5,28.0,6.75
SP,40494,8.3,15.11,5.77
MG,11354,11.5,20.63,5.44
AP,67,27.8,34.16,4.94
PR,4923,11.5,20.47,4.78
AM,145,26.0,33.31,4.29
RO,243,19.3,41.33,4.03
AC,80,20.3,40.05,3.3
